      Skeleton      	num_frames	Actor1	Actor2
S012C001P027R002A060	    80    	  0   	  13  
S012C001P037R001A060	   120    	  0   	  54  
S012C001P037R002A060	   108    	  0   	  70  
S012C002P007R002A059	    67    	  0   	  7   
S012C002P007R002A060	    91    	  0   	  1   
S012C002P008R001A059	   114    	  0   	  31  
S012C002P008R002A059	    76    	  0   	  21  
S012C002P015R002A059	   110    	  0   	  35  
S012C002P015R002A060	    82    	  0   	  16  
S012C002P016R001A060	   106    	  0   	  15  
S012C002P019R001A060	   114    	  0   	  16  
S012C002P019R002A059	   107    	  0   	  57  
S012C002P019R002A060	    88    	  0   	  16  
S012C002P025R002A059	   107    	  0   	  24  
S012C002P028R002A059	    79    	  0   	  21  
S012C002P028R002A060	    83    	  0   	  23  
S012C002P037R001A059	   105    	  0   	  27  
S012C002P037R002A055	    65    	  0   	  32  
S012C002P037R002A059	   102    	  0   	  59  
S012C002P037R002A060	   107    	  0   	  54  
S012C003P007R001A059	    77    	  0   	  29  
S012C003P007R001A060	    87    	  0   	  35  
S012C003P007R002A057	    78    	  0   	  4   
S012C003P007R002A059	    92    	  0   	  52  
S012C003P007R002A060	   105    	  0   	  45  
S012C003P008R001A059	   113    	  0   	  74  
S012C003P008R002A059	    81    	  0   	  38  
S012C003P008R002A060	   100    	  0   	  33  
S012C003P015R001A060	    90    	  0   	  26  
S012C003P015R002A060	    82    	  0   	  24  
S012C003P016R001A060	   105    	  0   	  43  
S012C003P016R002A060	    89    	  0   	  22  
S012C003P017R001A059	    96    	  0   	  32  
S012C003P017R001A060	    87    	  0   	  48  
S012C003P018R001A016	   138    	  0   	  16  
S012C003P018R001A059	    99    	  0   	  47  
S012C003P018R001A060	    94    	  0   	  77  
S012C003P019R001A059	    88    	  0   	  31  
S012C003P019R001A060	   113    	  0   	  14  
S012C003P019R002A059	   107    	  0   	  61  
S012C003P019R002A060	    88    	  0   	  21  
S012C003P025R001A059	    98    	  0   	  53  
S012C003P025R001A060	    95    	  0   	  18  
S012C003P025R002A059	   130    	  0   	  65  
S012C003P025R002A060	   103    	  0   	  17  
S012C003P028R001A060	    82    	  0   	  13  
S012C003P037R002A059	   102    	  0   	  68  
S012C003P037R002A060	   108    	  0   	  61  
S013C001P007R001A060	   113    	  0   	  5   
S013C001P007R002A060	    94    	  0   	  54  
S013C001P008R001A059	    90    	  0   	  70  
S013C001P008R001A060	    79    	  0   	  22  
S013C001P015R001A060	    85    	  0   	  9   
S013C001P016R002A060	   102    	  0   	  14  
S013C001P018R002A001	   129    	  0   	 129  
S013C001P019R001A059	    83    	  0   	  63  
S013C001P019R001A060	    94    	  0   	  70  
S013C001P025R001A059	   106    	  0   	  52  
S013C001P025R001A060	    94    	  0   	  1   
S013C001P025R002A060	    96    	  0   	  60  
S013C001P027R001A059	    89    	  0   	  33  
S013C001P027R001A060	    82    	  0   	  5   
S013C001P027R002A060	    81    	  0   	  10  
S013C001P028R001A060	    89    	  0   	  10  
S013C001P037R001A060	   100    	  0   	  17  
S013C001P037R002A060	    93    	  0   	  21  
S013C002P007R001A060	   113    	  0   	  42  
S013C002P007R002A059	    91    	  0   	  70  
S013C002P007R002A060	    94    	  0   	  13  
S013C002P008R002A059	    91    	  0   	  69  
S013C002P008R002A060	    96    	  15  	  45  
S013C002P016R002A060	   102    	  0   	  39  
S013C002P018R001A060	    91    	  0   	  13  
S013C002P019R001A059	    84    	  0   	  30  
S013C002P019R001A060	    94    	  0   	  56  
S013C002P019R002A059	    92    	  0   	  71  
S013C002P019R002A060	   108    	  0   	  10  
S013C002P025R001A060	    94    	  0   	  38  
S013C002P025R002A059	   105    	  14  	  64  
S013C002P025R002A060	    90    	  0   	  44  
S013C002P027R002A060	    81    	  0   	  9   
S013C002P037R001A060	    99    	  0   	  61  
S013C002P037R002A059	    90    	  0   	  72  
S013C002P037R002A060	    93    	  12  	  53  
S013C003P007R001A059	    95    	  0   	  31  
S013C003P007R001A060	   114    	  0   	  5   
S013C003P007R002A059	    91    	  0   	  74  
S013C003P007R002A060	    94    	  0   	  11  
S013C003P008R001A059	    45    	  0   	  21  
S013C003P008R001A060	    68    	  0   	  33  
S013C003P016R002A060	   102    	  0   	  22  
S013C003P019R001A059	    84    	  0   	  58  
S013C003P019R001A060	    94    	  0   	  13  
S013C003P019R002A059	    93    	  0   	  77  
S013C003P025R001A059	    64    	  3   	  10  
S013C003P025R001A060	    94    	  0   	  64  
S013C003P025R002A059	    72    	  0   	  32  
S013C003P025R002A060	    85    	  0   	  42  
S013C003P027R001A059	    91    	  0   	  40  
S013C003P028R001A059	    91    	  0   	  70  
S013C003P037R001A059	   100    	  0   	  78  
S013C003P037R001A060	   100    	  9   	  65  
S013C003P037R002A059	    91    	  0   	  54  
S013C003P037R002A060	    93    	  0   	  13  
S014C001P007R001A060	   104    	  0   	 104  
S014C001P008R002A059	   106    	  0   	  81  
S014C001P015R001A059	   103    	  0   	  29  
S014C001P019R001A059	    90    	  0   	  66  
S014C001P019R001A060	   103    	  0   	  16  
S014C001P019R002A060	   109    	  0   	  23  
S014C001P025R001A059	    94    	  0   	  55  
S014C001P025R001A060	    97    	  0   	  1   
S014C001P025R002A060	    89    	  0   	  89  
S014C001P027R001A059	   119    	  0   	  72  
S014C001P027R001A060	    90    	  0   	  20  
S014C001P027R002A060	    96    	  0   	  22  
S014C001P037R001A059	    75    	  0   	  52  
S014C001P037R001A060	    85    	  0   	  7   
S014C002P007R002A059	    58    	  10  	  37  
S014C002P007R002A060	    95    	  0   	  18  
S014C002P008R001A052	    65    	  0   	  10  
S014C002P008R001A059	   117    	  0   	  63  
S014C002P008R002A060	   100    	  0   	  44  
S014C002P015R001A059	   103    	  0   	  39  
S014C002P015R002A060	    82    	  0   	  12  
S014C002P017R001A060	    84    	  0   	  24  
S014C002P017R002A059	    90    	  0   	  29  
S014C002P017R002A060	   105    	  0   	  13  
S014C002P019R001A059	    88    	  0   	  30  
S014C002P019R002A059	    59    	  0   	  23  
S014C002P019R002A060	   109    	  0   	  5   
S014C002P027R001A060	    91    	  0   	  12  
S014C002P027R002A059	    70    	  0   	  19  
S014C002P027R002A060	    64    	  3   	  51  
S014C002P037R001A059	    75    	  0   	  27  
S014C002P037R001A060	    86    	  0   	  20  
S014C002P037R002A059	    57    	  0   	  17  
S014C002P037R002A060	    92    	  0   	  47  
S014C002P039R001A059	   128    	  0   	  36  
S014C002P039R002A059	   133    	  0   	  76  
S014C003P007R001A060	   105    	  0   	  70  
S014C003P007R002A060	    96    	  0   	  72  
S014C003P008R001A059	   118    	  0   	  93  
S014C003P008R001A060	   101    	  0   	  15  
S014C003P008R002A059	    73    	  0   	  21  
S014C003P015R002A060	    83    	  0   	  38  
S014C003P019R001A059	    90    	  0   	  72  
S014C003P019R001A060	   103    	  0   	  14  
S014C003P019R002A059	   104    	  0   	  63  
S014C003P019R002A060	   109    	  0   	  2   
S014C003P025R001A059	    93    	  0   	  64  
S014C003P025R001A060	    98    	  0   	  55  
S014C003P025R002A059	    42    	  0   	  15  
S014C003P027R001A059	   119    	  0   	  72  
S014C003P027R001A060	    91    	  0   	  20  
S014C003P027R002A059	   124    	  0   	  68  
S014C003P027R002A060	    97    	  0   	  7   
S014C003P037R001A060	    85    	  11  	  62  
S014C003P037R002A059	    67    	  0   	  36  
S014C003P037R002A060	    91    	  0   	  8   
S014C003P039R001A059	   128    	  0   	 100  
S015C001P007R001A059	    57    	  0   	  16  
S015C001P007R001A060	    95    	  0   	  13  
S015C001P007R002A059	   128    	  0   	 105  
S015C001P008R001A060	    95    	  5   	  41  
S015C001P008R002A059	    73    	  0   	  53  
S015C001P008R002A060	    88    	  0   	  55  
S015C001P015R001A055	   105    	  0   	  69  
S015C001P015R001A057	    93    	  0   	  75  
S015C001P015R001A059	   104    	  0   	  53  
S015C001P015R002A059	    98    	  0   	  53  
S015C001P016R001A060	   100    	  5   	  29  
S015C001P016R002A059	    80    	  0   	  43  
S015C001P016R002A060	    53    	  3   	  14  
S015C001P017R001A060	   103    	  0   	  40  
S015C001P017R002A059	    87    	  0   	  50  
S015C001P017R002A060	    85    	  0   	  12  
S015C001P019R001A059	    89    	  0   	  72  
S015C001P019R002A060	   108    	  0   	  16  
S015C001P025R001A059	    93    	  0   	  40  
S015C001P025R002A059	   111    	  1   	  71  
S015C001P025R002A060	   100    	  0   	  55  
S015C001P037R001A059	   110    	  9   	  74  
S015C001P037R001A060	   105    	  23  	  59  
S015C001P037R002A059	   106    	  0   	  90  
S015C002P008R001A059	    94    	  0   	  60  
S015C002P008R001A060	   103    	  0   	  19  
S015C002P008R002A059	    52    	  0   	  7   
S015C002P015R002A055	    72    	  0   	  25  
S015C002P015R002A059	    67    	  0   	  29  
S015C002P016R001A059	    76    	  0   	  39  
S015C002P016R001A060	   100    	  0   	  24  
S015C002P016R002A060	    75    	  0   	  38  
S015C002P017R001A059	    80    	  0   	  33  
S015C002P017R001A060	   111    	  0   	  20  
S015C002P017R002A059	    87    	  0   	  38  
S015C002P019R002A059	   103    	  0   	  72  
S015C002P025R002A055	    61    	  0   	  23  
S015C002P025R002A059	    73    	  0   	  45  
S015C002P037R001A060	    98    	  0   	  98  
S015C002P037R002A059	   106    	  0   	  66  
S015C003P007R001A059	    78    	  0   	  42  
S015C003P007R001A060	    96    	  0   	  1   
S015C003P007R002A059	   127    	  0   	  81  
S015C003P008R001A059	    94    	  0   	  41  
S015C003P008R001A060	   103    	  13  	  79  
S015C003P008R002A060	    88    	  0   	  1   
S015C003P015R001A059	   104    	  0   	  61  
S015C003P015R002A060	    92    	  0   	  30  
S015C003P016R001A059	    76    	  39  	  44  
S015C003P016R001A060	   100    	  0   	  21  
S015C003P016R002A059	    80    	  0   	  58  
S015C003P016R002A060	    75    	  0   	  32  
S015C003P017R001A060	   111    	  0   	  14  
S015C003P017R002A059	    88    	  0   	  72  
S015C003P017R002A060	    85    	  0   	  31  
S015C003P019R001A060	   109    	  0   	  34  
S015C003P019R002A060	   108    	  0   	  33  
S015C003P025R001A059	    93    	  33  	  46  
S015C003P025R002A060	   101    	  0   	  61  
S015C003P037R001A060	   105    	  0   	  35  
S015C003P037R002A060	    92    	  0   	  29  
S016C001P007R001A008	    77    	  0   	  38  
S016C001P007R001A059	   105    	  0   	  72  
S016C001P007R002A060	   105    	  0   	  21  
S016C001P008R001A055	    66    	  0   	  15  
S016C001P008R002A042	   119    	  0   	  90  
S016C001P008R002A059	    71    	  0   	  31  
S016C001P008R002A060	   103    	  0   	  8   
S016C001P019R001A060	   111    	  0   	  53  
S016C001P019R002A011	    80    	  0   	  80  
S016C001P019R002A059	   110    	  0   	  89  
S016C001P019R002A060	   117    	  0   	  80  
S016C001P025R001A055	    63    	  0   	  28  
S016C001P025R001A059	    99    	  0   	  80  
S016C001P025R002A060	   101    	  0   	  15  
S016C001P039R001A059	   107    	  0   	  65  
S016C001P039R002A059	   100    	  0   	  68  
S016C001P039R002A060	    92    	  0   	  30  
S016C001P040R001A059	   111    	  0   	  78  
S016C001P040R001A060	    98    	  0   	  19  
S016C001P040R002A059	   116    	  0   	  67  
S016C001P040R002A060	   121    	  0   	  27  
S016C002P007R001A059	   106    	  0   	  70  
S016C002P007R001A060	    98    	  0   	  6   
S016C002P007R002A059	    53    	  0   	  27  
S016C002P008R002A055	    65    	  0   	  25  
S016C002P008R002A059	    54    	  0   	  6   
S016C002P008R002A060	   102    	  0   	  21  
S016C002P019R001A059	   129    	  0   	  75  
S016C002P019R001A060	   113    	  0   	  14  
S016C002P019R002A059	   110    	  0   	  91  
S016C002P019R002A060	   117    	  0   	  17  
S016C002P021R001A059	   133    	  0   	 108  
S016C002P021R002A059	    44    	  0   	  5   
S016C002P021R002A060	    94    	  0   	  10  
S016C002P025R001A059	    98    	  0   	  69  
S016C002P025R001A060	   113    	  0   	  33  
S016C002P025R002A059	    65    	  0   	  13  
S016C002P025R002A060	   101    	  0   	  9   
S016C002P039R001A059	   106    	  0   	  61  
S016C002P039R002A057	    89    	  0   	  13  
S016C002P039R002A059	   100    	  0   	  51  
S016C002P039R002A060	    92    	  19  	  42  
S016C002P040R001A009	    53    	  0   	  53  
S016C002P040R001A059	   112    	  0   	  70  
S016C002P040R001A060	    97    	  0   	  19  
S016C002P040R002A055	    47    	  0   	  14  
S016C002P040R002A059	    83    	  0   	  46  
S016C003P007R001A005	    57    	  0   	  57  
S016C003P007R001A059	    47    	  0   	  5   
S016C003P007R001A060	    98    	  0   	  32  
S016C003P007R002A059	   110    	  0   	  50  
S016C003P008R001A059	   104    	  0   	  68  
S016C003P008R001A060	   106    	  0   	  35  
S016C003P008R002A059	   114    	  0   	  55  
S016C003P019R001A059	    66    	  0   	  6   
S016C003P019R001A060	   106    	  0   	  18  
S016C003P019R002A059	   110    	  0   	  65  
S016C003P021R001A055	    56    	  0   	  18  
S016C003P021R001A060	   106    	  0   	  50  
S016C003P021R002A059	   122    	  0   	  43  
S016C003P025R001A059	    98    	  0   	  59  
S016C003P039R001A059	   106    	  54  	  75  
S016C003P039R002A059	    99    	  0   	  45  
S016C003P040R001A059	   112    	  51  	  70  
S016C003P040R002A059	   116    	  0   	  59  
S016C003P040R002A060	   121    	  0   	  6   
S017C001P003R002A059	   114    	  0   	  96  
S017C001P003R002A060	   104    	  0   	  12  
S017C001P007R002A059	   112    	  0   	  91  
S017C001P007R002A060	    93    	  0   	  10  
S017C001P008R002A060	    86    	  0   	  13  
S017C001P009R001A059	    93    	  0   	  69  
S017C001P009R001A060	   116    	  0   	  16  
S017C001P009R002A060	    96    	  0   	  32  
S017C001P015R001A060	   124    	  0   	  4   
S017C001P015R002A059	   108    	  0   	  52  
S017C001P015R002A060	    91    	  0   	  8   
S017C001P016R001A059	   108    	  0   	  45  
S017C001P016R001A060	    99    	  0   	  18  
S017C001P016R002A059	    99    	  0   	  78  
S017C001P016R002A060	    83    	  0   	  19  
S017C001P017R002A059	   107    	  0   	  73  
S017C001P017R002A060	   106    	  0   	  34  
S017C001P020R001A059	   102    	  0   	  65  
S017C002P003R002A059	    66    	  0   	  41  
S017C002P003R002A060	   102    	  0   	  13  
S017C002P007R001A059	   112    	  0   	  93  
S017C002P007R001A060	   104    	  0   	  6   
S017C002P007R002A059	    42    	  0   	  9   
S017C002P008R001A059	   112    	  0   	  62  
S017C002P009R001A059	    93    	  0   	  58  
S017C002P009R002A060	    87    	  0   	  13  
S017C002P015R001A059	    95    	  0   	  46  
S017C002P015R002A059	    64    	  0   	  38  
S017C002P015R002A060	    89    	  0   	  9   
S017C002P016R002A059	    99    	  0   	  83  
S017C002P017R002A059	    76    	  0   	  39  
S017C002P017R002A060	    99    	  0   	  10  
S017C002P020R001A059	    39    	  0   	  13  
S017C003P003R001A059	    52    	  0   	  5   
S017C003P003R001A060	    96    	  0   	  9   
S017C003P003R002A059	   116    	  0   	  70  
S017C003P007R001A059	   112    	  0   	  67  
S017C003P007R001A060	   104    	  0   	  25  
S017C003P007R002A059	    82    	  17  	  24  
S017C003P008R001A055	    63    	  0   	  20  
S017C003P008R001A060	    84    	  0   	  24  
S017C003P008R002A059	    95    	  0   	  62  
S017C003P009R001A060	   104    	  0   	  26  
S017C003P009R002A059	    93    	  0   	  58  
S017C003P009R002A060	    97    	  0   	  16  
S017C003P015R001A059	    96    	  0   	  59  
S017C003P015R001A060	   124    	  0   	  78  
S017C003P016R001A059	   107    	  0   	  39  
S017C003P016R002A059	    99    	  0   	  51  
S017C003P017R001A059	   111    	  0   	  55  
S017C003P017R001A060	    96    	  0   	  12  
S017C003P017R002A060	   106    	  0   	  7   
S017C003P020R002A059	   111    	  0   	  79  
      Skeleton      	num_frames	Actor1	Actor2
